_A_	A pos			
_A_ Sg Nom	A pos sg nom			
_A_ Pl Nom	A pos pl nom			
_A_ Sg Gen	A pos sg gen			
_A_ Pl Gen	A pos pl gen			
_A_ Sg Par	A pos sg part			
_A_ Pl Par	A pos pl part			
_A_ Sg Ill	A pos sg ill			
_A_ Pl Ill	A pos pl ill			
_A_ Sg Ine	A pos sg in			
_A_ Pl Ine	A pos pl in			
_A_ Sg Ela	A pos sg el			
_A_ Pl Ela	A pos pl el			
_A_ Sg All	A pos sg all			
_A_ Pl All	A pos pl all			
_A_ Sg Ade	A pos sg ad			
_A_ Pl Ade	A pos pl ad			
_A_ Sg Abl	A pos sg abl			
_A_ Pl Abl	A pos pl abl			
_A_ Sg Tra	A pos sg tr			
_A_ Pl Tra	A pos pl tr			
_A_ Sg Trm	A pos sg term			
_A_ Pl Trm	A pos pl term			
_A_ Sg Ess	A pos sg es			
_A_ Pl Ess	A pos pl es			
_A_ Sg Abe	A pos sg abes			
_A_ Pl Abe	A pos pl abes			
_A_ Sg Com	A pos sg kom			
_A_ Pl Com	A pos pl kom			


_B_	B			


_C_ Sg Nom	A comp sg nom			
_C_ Pl Nom	A comp pl nom			
_C_ Sg Gen	A comp sg gen			
_C_ Pl Gen	A comp pl gen			
_C_ Sg Par	A comp sg part			
_C_ Pl Par	A comp pl part			
_C_ Sg Ill	A comp sg ill			
_C_ Pl Ill	A comp pl ill			
_C_ Sg Ine	A comp sg in			
_C_ Pl Ine	A comp pl in			
_C_ Sg Ela	A comp sg el			
_C_ Pl Ela	A comp pl el			
_C_ Sg All	A comp sg all			
_C_ Pl All	A comp pl all			
_C_ Sg Ade	A comp sg ad			
_C_ Pl Ade	A comp pl ad			
_C_ Sg Abl	A comp sg abl			
_C_ Pl Abl	A comp pl abl			
_C_ Sg Tra	A comp sg tr			
_C_ Pl Tra	A comp pl tr			
_C_ Sg Trm	A comp sg term			
_C_ Pl Trm	A comp pl term			
_C_ Sg Ess	A comp sg es			
_C_ Pl Ess	A comp pl es			
_C_ Sg Abe	A comp sg abes			
_C_ Pl Abe	A comp pl abes			
_C_ Sg Com	A comp sg kom			
_C_ Pl Com	A comp pl kom			

_D_	D			


_G_	G			


_H_ Sg Nom	S prop sg nom			
_H_ Pl Nom	S prop pl nom			
_H_ Sg Gen	S prop sg gen			
